Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
160	 2.0000 V	 0 V	 795.0 mV	 0 V	 16.9650 mA	 1.696500000 mA/um
161	 2.0000 V	 0 V	 800.0 mV	 0 V	 16.9920 mA	 1.699200000 mA/um
162	 2.0000 V	 0 V	 805.0 mV	 0 V	 17.1940 mA	 1.719400000 mA/um
163	 2.0000 V	 0 V	 810.0 mV	 0 V	 17.2920 mA	 1.729200000 mA/um
164	 2.0000 V	 0 V	 815.0 mV	 0 V	 17.2650 mA	 1.726500000 mA/um
165	 2.0000 V	 0 V	 820.0 mV	 0 V	 17.3470 mA	 1.734700000 mA/um
166	 2.0000 V	 0 V	 825.0 mV	 0 V	 17.5380 mA	 1.753800000 mA/um
167	 2.0000 V	 0 V	 830.0 mV	 0 V	 17.5610 mA	 1.756100000 mA/um
168	 2.0000 V	 0 V	 835.0 mV	 0 V	 17.5740 mA	 1.757400000 mA/um
169	 2.0000 V	 0 V	 840.0 mV	 0 V	 17.6230 mA	 1.762300000 mA/um
170	 2.0000 V	 0 V	 845.0 mV	 0 V	 17.8250 mA	 1.782500000 mA/um
171	 2.0000 V	 0 V	 850.0 mV	 0 V	 17.8580 mA	 1.785800000 mA/um
172	 2.0000 V	 0 V	 855.0 mV	 0 V	 17.8210 mA	 1.782100000 mA/um
173	 2.0000 V	 0 V	 860.0 mV	 0 V	 18.0300 mA	 1.803000000 mA/um
174	 2.0000 V	 0 V	 865.0 mV	 0 V	 18.1230 mA	 1.812300000 mA/um
175	 2.0000 V	 0 V	 870.0 mV	 0 V	 18.1270 mA	 1.812700000 mA/um
176	 2.0000 V	 0 V	 875.0 mV	 0 V	 18.1380 mA	 1.813800000 mA/um
177	 2.0000 V	 0 V	 880.0 mV	 0 V	 18.3200 mA	 1.832000000 mA/um
178	 2.0000 V	 0 V	 885.0 mV	 0 V	 18.4220 mA	 1.842200000 mA/um
179	 2.0000 V	 0 V	 890.0 mV	 0 V	 18.4310 mA	 1.843100000 mA/um
180	 2.0000 V	 0 V	 895.0 mV	 0 V	 18.4510 mA	 1.845100000 mA/um
181	 2.0000 V	 0 V	 900.0 mV	 0 V	 18.6340 mA	 1.863400000 mA/um
182	 2.0000 V	 0 V	 905.0 mV	 0 V	 18.7210 mA	 1.872100000 mA/um
183	 2.0000 V	 0 V	 910.0 mV	 0 V	 18.7160 mA	 1.871600000 mA/um
184	 2.0000 V	 0 V	 915.0 mV	 0 V	 18.8290 mA	 1.882900000 mA/um
185	 2.0000 V	 0 V	 920.0 mV	 0 V	 18.9680 mA	 1.896800000 mA/um
186	 2.0000 V	 0 V	 925.0 mV	 0 V	 18.9650 mA	 1.896500000 mA/um
187	 2.0000 V	 0 V	 930.0 mV	 0 V	 19.0020 mA	 1.900200000 mA/um
188	 2.0000 V	 0 V	 935.0 mV	 0 V	 19.1810 mA	 1.918100000 mA/um
189	 2.0000 V	 0 V	 940.0 mV	 0 V	 19.2220 mA	 1.922200000 mA/um
190	 2.0000 V	 0 V	 945.0 mV	 0 V	 19.1960 mA	 1.919600000 mA/um
191	 2.0000 V	 0 V	 950.0 mV	 0 V	 19.3610 mA	 1.936100000 mA/um
192	 2.0000 V	 0 V	 955.0 mV	 0 V	 19.4990 mA	 1.949900000 mA/um
193	 2.0000 V	 0 V	 960.0 mV	 0 V	 19.5230 mA	 1.952300000 mA/um
194	 2.0000 V	 0 V	 965.0 mV	 0 V	 19.5510 mA	 1.955100000 mA/um
195	 2.0000 V	 0 V	 970.0 mV	 0 V	 19.6660 mA	 1.966600000 mA/um
196	 2.0000 V	 0 V	 975.0 mV	 0 V	 19.8050 mA	 1.980500000 mA/um
197	 2.0000 V	 0 V	 980.0 mV	 0 V	 19.8210 mA	 1.982100000 mA/um
198	 2.0000 V	 0 V	 985.0 mV	 0 V	 19.8500 mA	 1.985000000 mA/um
199	 2.0000 V	 0 V	 990.0 mV	 0 V	 19.9530 mA	 1.995300000 mA/um
200	 2.0000 V	 0 V	 995.0 mV	 0 V	 20.0820 mA	 2.008200000 mA/um
201	 2.0000 V	 0 V	 1.0000 V	 0 V	 20.1240 mA	 2.012400000 mA/um
202	 2.0000 V	 0 V	 1.0050 V	 0 V	 20.1480 mA	 2.014800000 mA/um
203	 2.0000 V	 0 V	 1.0100 V	 0 V	 20.2830 mA	 2.028300000 mA/um
204	 2.0000 V	 0 V	 1.0150 V	 0 V	 20.3700 mA	 2.037000000 mA/um
205	 2.0000 V	 0 V	 1.0200 V	 0 V	 20.3690 mA	 2.036900000 mA/um
